,probabilities,pred_label,label
0,0.24741706,0,1
1,0.5992167,1,1
2,0.29046038,0,1
3,0.29046038,0,1
4,0.7096016,1,1
5,0.90821207,1,1
6,0.59408426,1,1
7,0.5875501,1,1
8,0.9402317,1,1
9,0.9268279,1,1
10,0.94254804,1,1
11,0.9048225,1,1
12,0.9290397,1,1
13,0.93346745,1,1
14,0.93346745,1,1
15,0.9409896,1,1
16,0.9217167,1,1
17,0.27456236,0,1
18,0.9155321,1,1
19,0.93983,1,1
20,0.9360952,1,1
21,0.9360952,1,1
22,0.94450194,1,1
23,0.90742433,1,1
24,0.6781195,1,1
25,0.41688755,0,1
26,0.9366966,1,1
27,0.9366966,1,1
28,0.93538934,1,1
29,0.9417024,1,1
30,0.29724267,0,1
31,0.93581164,1,1
32,0.9417742,1,1
33,0.9240764,1,1
34,0.9240764,1,1
35,0.30854774,0,1
36,0.33690986,0,1
37,0.49364084,0,1
38,0.35292354,0,1
39,0.12936789,0,1
40,0.1835184,0,1
41,0.1835184,0,1
42,0.19757186,0,0
43,0.8710921,1,0
44,0.8710921,1,0
45,0.48199672,0,0
46,0.8629204,1,0
47,0.27174056,0,0
48,0.8726945,1,0
49,0.7229616,1,0
50,0.85643923,1,0
51,0.90480125,1,0
52,0.7512847,1,0
53,0.7512847,1,0
54,0.47250527,0,1
55,0.8824352,1,1
56,0.8824352,1,1
57,0.5258149,1,1
58,0.5258149,1,1
59,0.18227525,0,0
60,0.19444476,0,0
61,0.19444476,0,0
62,0.18070906,0,1
63,0.27055034,0,1
64,0.27055034,0,1
65,0.42186424,0,0
66,0.81530905,1,0
67,0.8034823,1,0
68,0.8034823,1,0
69,0.32561827,0,1
70,0.37601992,0,1
71,0.91280156,1,1
72,0.66077447,1,1
73,0.5562864,1,1
74,0.56858534,1,1
75,0.7224052,1,1
76,0.7224052,1,1
77,0.67928493,1,0
78,0.38539103,0,0
79,0.54250765,1,0
80,0.74640906,1,0
81,0.8710702,1,0
82,0.8710702,1,0
83,0.37317583,0,0
84,0.6945356,1,0
85,0.6945356,1,0
86,0.5218038,1,0
87,0.73707974,1,0
88,0.34615982,0,0
89,0.90514326,1,0
90,0.88286203,1,0
91,0.44377324,0,0
92,0.7381523,1,0
93,0.7381523,1,0
94,0.35269353,0,0
95,0.35269353,0,0
96,0.29383516,0,1
97,0.44700927,0,1
98,0.8709409,1,1
99,0.5399935,1,1
100,0.46275216,0,1
101,0.46275216,0,1
102,0.65903014,1,0
103,0.2243238,0,0
104,0.26820606,0,0
105,0.26820606,0,0
106,0.12859584,0,0
107,0.4187772,0,0
108,0.40497404,0,0
109,0.40497404,0,0
110,0.35901088,0,0
